t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1
444.5423955114715,300.0000000000006,1.0116467908141654e+20,3.715003602376403e+16,6.23306967877721e+19,3.879683225762079e+19
444.9423955114715,300.0000000000006,1.0114706440124142e+20,3.695303985046846e+16,6.230700106824297e+19,3.8803110293147976e+19
445.34239551147147,300.0000000000006,1.0112957313121634e+20,3.6759096641270984e+16,6.228345775900499e+19,3.880935627557018e+19
445.74239551147144,300.0000000000006,1.0111220305627321e+20,3.656812829536645e+16,6.226006412517649e+19,3.8815570802801435e+19
446.1423955114714,300.0000000000006,1.0109495202328217e+20,3.638005948055628e+16,6.2236817511895654e+19,3.882175445190599e+19
446.5423955114714,300.0000000000006,1.0107781793875347e+20,3.619481750836561e+16,6.221371534117688e+19,3.882790778006833e+19
446.9423955114714,300.0000000000006,1.0106079876664589e+20,3.601233221597532e+16,6.219075510892088e+19,3.8834031325509075e+19
447.34239551147135,300.0000000000006,1.0104389252627427e+20,3.583253585453437e+16,6.216793438206999e+19,3.884012560834977e+19
447.74239551147133,300.0000000000006,1.0102709729031247e+20,3.5655362983447904e+16,6.214525079589898e+19,3.884619113143011e+19
448.1423955114713,300.0000000000006,1.0101041118288603e+20,3.5480750370268292e+16,6.212270205143493e+19,3.88522283810809e+19
448.5423955114713,300.0000000000006,1.0099383237774888e+20,3.5308636895840164e+16,6.210028591299811e+19,3.885823782785491e+19
448.94239551147126,300.0000000000006,1.0097735909654033e+20,3.513896346437735e+16,6.207800020585687e+19,3.886421992721913e+19
449.34239551147124,300.0000000000006,1.0096098960711882e+20,3.4971672918171564e+16,6.2055842813990494e+19,3.887017512021019e+19
449.7423955114712,300.0000000000006,1.0094472222196649e+20,3.480670995665305e+16,6.203381167795449e+19,3.88761038340553e+19
450.1423955114712,301.139164091769,1.0092646569802711e+20,3.6902063704959544e+16,6.200686435451293e+19,3.888269927980924e+19
450.54239551147117,304.3391640917695,1.0090108474547654e+20,4.376897862750881e+16,6.1965646197285675e+19,3.889166956956341e+19
450.94239551147115,307.5391640917697,1.0086615885775872e+20,5.165681775553118e+16,6.191059291407024e+19,3.890390912593289e+19
451.3423955114711,310.7391640917683,1.0081864562546252e+20,6.05191462909268e+16,6.18375330943183e+19,3.892059338485338e+19
451.7423955114711,313.93916409176836,1.0075480889114187e+20,7.032643410109001e+16,6.17412621483441e+19,3.894322030869677e+19
452.1423955114711,317.13916409176903,1.0067019973930744e+20,8.098973336759317e+16,6.161557277330617e+19,3.897363723263377e+19
452.54239551147106,320.3391640917694,1.0055970705075097e+20,9.234957529232317e+16,6.145329327658358e+19,3.901406419887507e+19
452.94239551147103,323.5391640917679,1.0041769297170552e+20,1.0417406682394138e+17,6.124641531096475e+19,3.906710359391688e+19
453.342395511471,326.7391640917681,1.0023820995483912e+20,1.1616927421615616e+17,6.0986326081602175e+19,3.913571459902092e+19
453.742395511471,329.9391640917684,1.0001527109127171e+20,1.2800322842264328e+17,6.066414019518609e+19,3.922312766766306e+19
454.14239551147097,333.13916409176704,9.974312558987831e+19,1.3934044221500869e+17,6.0271104114458075e+19,3.933268103320534e+19
454.54239551147094,336.33916409176754,9.941648834488294e+19,1.4987945821598298e+17,5.979902523469709e+19,3.946758365196993e+19
454.9423955114709,339.5391640917677,9.903068949973379e+19,1.593841545568034e+17,5.924065686323912e+19,3.963064848193799e+19
455.3423955114709,342.73916409176803,9.85817375920597e+19,1.677015861436642e+17,5.858995855502449e+19,3.9824077450891624e+19
455.7423955114709,345.939164091767,9.806631412735377e+19,1.7476396147901027e+17,5.78421715526815e+19,4.0049378613193376e+19
456.14239551147085,349.13916409176716,9.74817290970384e+19,1.8057733399942602e+17,5.699371054385084e+19,4.030744121918826e+19
456.54239551147083,352.3391640917668,9.68258656559491e+19,1.8520251481923894e+17,5.604194788598178e+19,4.059871525514811e+19
456.9423955114708,355.5391640917661,9.609713356432083e+19,1.887340099126031e+17,5.498500097175504e+19,4.092339858265316e+19
457.3423955114708,358.73916409176593,9.529444155777714e+19,1.9128126138214256e+17,5.382160444662943e+19,4.12815558497656e+19
457.74239551147076,361.93916409176586,9.441719204807485e+19,1.9295436599896928e+17,5.255108747387768e+19,4.167315020819823e+19
458.14239551147074,365.1391640917651,9.346529762028945e+19,1.9385467022657968e+17,5.117343107220624e+19,4.209801187785664e+19
458.5423955114707,368.3391640917651,9.243921636181244e+19,1.9406957164074765e+17,4.968937079080099e+19,4.2555775999370805e+19
458.9423955114707,371.539164091765,9.13400010285689e+19,1.9367044811371347e+17,4.810052159616376e+19,4.304580898429146e+19
459.34239551147067,374.73916409176627,9.016935498847717e+19,1.927126600302976e+17,4.640951504322917e+19,4.356712728521776e+19
459.74239551147065,377.9391640917643,8.89296859584866e+19,1.9123679480396704e+17,4.462014539576674e+19,4.4118303767915995e+19
460.1423955114706,381.1391640917659,8.762414753302651e+19,1.892705904330885e+17,4.273752261182837e+19,4.469735433076508e+19
460.5423955114706,384.33916409176584,8.625665952043308e+19,1.8683120885302163e+17,4.076822926958189e+19,4.53015990419983e+19
460.9423955114706,387.5391640917632,8.483190182220579e+19,1.8392770657561315e+17,3.87204773042045e+19,4.592749681142571e+19
461.34239551147056,390.73916409176474,8.335528191648394e+19,1.8056367160109664e+17,3.6604259108492825e+19,4.6570459136390095e+19
461.74239551147053,393.9391640917646,8.183287964955057e+19,1.7674007194803152e+17,3.443148576567248e+19,4.722465381193007e+19
462.1423955114705,397.1391640917639,8.02713714699733e+19,1.7245840128302262e+17,3.2216102424919654e+19,4.788281064377064e+19
462.5423955114705,400.3391640917641,7.867792947029772e+19,1.6772421434801626e+17,2.997416648101977e+19,4.853603877493002e+19
462.94239551147047,403.53916409176384,7.706008378691943e+19,1.625511145624596e+17,2.7723867492419084e+19,4.917366517993797e+19
463.34239551147044,406.7391640917632,7.542553652418753e+19,1.5696517427546938e+17,2.5485457753284067e+19,4.978311359662798e+19
463.7423955114704,409.93916409176353,7.378192319336051e+19,1.5100961101211798e+17,2.328104844387352e+19,5.034986513847491e+19
464.1423955114704,413.1391640917626,7.213652971704969e+19,1.4474928215060045e+17,2.1134208943482106e+19,5.085757149141688e+19
464.5423955114704,416.33916409176226,7.049598453559559e+19,1.3827418039713154e+17,1.906929052058198e+19,5.128841983461658e+19
464.94239551147035,419.5391640917638,6.886595464775301e+19,1.3170065547860984e+17,1.7110392218171308e+19,5.162386177410305e+19
465.34239551147033,422.73916409176155,6.725088166711133e+19,1.2516873039653701e+17,1.5279919783434588e+19,5.1845793153280246e+19
465.7423955114703,425.93916409176387,6.565379747565316e+19,1.1883400338568738e+17,1.3596789220889539e+19,5.1938174251378024e+19
466.1423955114703,429.13916409176335,6.407625459249292e+19,1.128537301131633e+17,1.207450983833583e+19,5.1888891024044e+19
466.54239551147026,432.3391640917607,6.25183904587264e+19,1.0736894977350709e+17,1.0719597074953007e+19,5.169142443399988e+19
466.94239551147024,435.5391640917626,6.097911920959123e+19,1.0248713482640037e+17,9.530865857861745e+18,5.1345766216903156e+19
467.3423955114702,438.7391640917627,5.94564177894041e+19,9.82709098662058e+16,8.499974120773805e+18,5.085817275876413e+19
467.7423955114702,441.9391640917608,5.7947656727917175e+19,9.473640549418118e+16,7.613130316415269e+18,5.0239790006007644e+19
468.14239551147017,445.13916409176227,5.644992569410633e+19,9.18606642345754e+16,6.853418912563919e+18,4.950464611730788e+19
468.54239551147015,448.33916409176135,5.4960317194859086e+19,8.959408186132718e+16,6.203048156291744e+18,4.8667674956706054e+19
468.9423955114701,451.53916409176,5.34761500361208e+19,8.787320723882077e+16,5.645032733017774e+18,4.774324409586425e+19
469.3423955114701,454.7391640917616,5.1995129790481514e+19,8.663085635603264e+16,5.164169622427656e+18,4.674432931169784e+19
469.7423955114701,457.93916409176,5.051545313088835e+19,8.580262328602589e+16,4.747419590446007e+18,4.5682230917156364e+19
470.14239551147006,461.1391640917596,4.903586680068817e+19,8.533026150532133e+16,4.383899218115423e+18,4.456663732106739e+19
470.54239551147003,464.33916409176175,4.755569211429434e+19,8.516289463251642e+16,4.064669610422092e+18,4.340585960923982e+19
470.94239551147,467.53916409175906,4.607482416365507e+19,8.525695227753797e+16,3.7824493565845105e+18,4.220711785479304e+19
471.34239551147,470.73916409175825,4.459371267681748e+19,8.557547373777547e+16,3.531323795852635e+18,4.097681340722707e+19
471.74239551146997,473.93916409176114,4.311332943963628e+19,8.608717264538245e+16,3.306484058104319e+18,3.972075820888658e+19
472.14239551146994,477.13916409175795,4.163512561947597e+19,8.67654673566308e+16,3.104006738532707e+18,3.844435341358666e+19
472.5423955114699,480.3391640917605,4.0160981254321455e+19,8.758754972786192e+16,2.920673381524969e+18,3.7152720323068666e+19
472.9423955114699,483.53916409176026,3.869314852688997e+19,8.853348824912037e+16,2.753824304442283e+18,3.5850790734198518e+19
473.3423955114699,486.73916409175814,3.723419014935025e+19,8.958539047828202e+16,2.601242229637735e+18,3.4543362529234256e+19
473.74239551146985,489.93916409176,3.5786914189256507e+19,9.072681815311104e+16,2.4610656094161393e+18,3.3235121761687265e+19
474.14239551146983,493.13916409175897,3.4354306957460947e+19,9.194278082867496e+16,2.3317326080125983e+18,3.193063156861966e+19
474.5423955114698,496.3391640917575,3.2939466089484423e+19,9.322038511891126e+16,2.2119480399255063e+18,3.0634297664440033e+19
474.9423955114698,499.53916409175923,3.154553636338837e+19,9.454959922500334e+16,2.1006537884178473e+18,2.935033297574555e+19
475.34239551146976,502.73916409175763,3.017565040469205e+19,9.592326401520936e+16,1.9969850191023414e+18,2.808274212157448e+19
475.74239551146974,505.9391640917564,2.8832874510946873e+19,9.733599438217051e+16,1.9002132515745754e+18,2.6835325264990147e+19
476.1423955114697,509.1391640917594,2.752015664346144e+19,9.878254641682978e+16,1.8096946006259172e+18,2.5611679496418742e+19
476.5423955114697,512.3391640917563,2.6240271179392573e+19,1.0025662483103664e+17,1.724840030406827e+18,2.441517452415474e+19
476.94239551146967,515.5391640917551,2.4995756150216544e+19,1.0175065467268667e+17,1.6451088406576973e+18,2.324889665488617e+19
477.34239551146965,518.7391640917588,2.3788844534312493e+19,1.0325631129584646e+17,1.5700139056894047e+18,2.2115574317327233e+19
477.7423955114696,521.9391640917554,2.262139909958507e+19,1.047652543809241e+17,1.4991264285552407e+18,2.101750741664892e+19
478.1423955114696,525.1391640917593,2.1494865110580605e+19,1.0626965423976688e+17,1.4320748451580572e+18,1.9956520611182776e+19
478.5423955114696,528.3391640917578,2.0410253103330333e+19,1.0776241403975659e+17,1.36853883709576e+18,1.8933951852194824e+19
478.94239551146956,531.5391640917547,1.9368155611524375e+19,1.0923719104437342e+17,1.3082415740377436e+18,1.795067684644226e+19
479.34239551146953,534.739164091758,1.8368791852853656e+19,1.1068835046020896e+17,1.250942504495667e+18,1.7007160997897802e+19
479.7423955114695,537.9391640917564,1.7412067930449258e+19,1.1211093295942323e+17,1.1964315595713748e+18,1.6103525437918472e+19
480.1423955114695,541.1391640917548,1.6497639177765515e+19,1.13500660443856e+17,1.1445246965407087e+18,1.5239613820780952e+19
480.54239551146946,544.3391640917571,1.5624964691054033e+19,1.1485397101818909e+17,1.0950603715453911e+18,1.4415050348490465e+19
480.94239551146944,547.5391640917554,1.4793349162313703e+19,1.1616806106979062e+17,1.0478965344143729e+18,1.3629284566829548e+19
481.3423955114694,550.7391640917538,1.4001971593174526e+19,1.1744091203575635e+17,1.0029078720088204e+18,1.2881622809129953e+19
481.7423955114694,553.9391640917563,1.3249903314043329e+19,1.1867128581119723e+17,9.599831759367956e+17,1.2171248852295352e+19
482.1423955114694,557.1391640917542,1.2536118932083745e+19,1.1985868157679707e+17,9.190228256220495e+17,1.1497237424884908e+19
482.54239551146935,560.3391640917532,1.185950382322781e+19,1.210032553088328e+17,8.799364442010097e+17,1.0858564123717966e+19
482.94239551146933,563.5391640917561,1.121886107334676e+19,1.2210570979832938e+17,8.426408071019724e+17,1.0254114556446456e+19
483.3423955114693,566.7391640917533,1.0612919773824004e+19,1.231671669541915e+17,8.070580734991059e+17,9.68269453337071e+18
483.7423955114693,569.9391640917564,1.0040345571995742e+19,1.241890354292276e+17,7.731143825223412e+17,9.143042154044169e+18
484.14239551146926,573.139164091755,9.499753538575204e+18,1.2517288558101093e+17,7.407388211124804e+17,8.633841831881714e+18
484.54239551146924,576.3391640917524,8.989722824840574e+18,1.2612034095417336e+17,7.098627366319452e+17,8.153739747254456e+18
484.9423955114692,579.5391640917552,8.508812253800777e+18,1.2703299235431406e+17,6.804193454247018e+17,7.701359916021767e+18
485.3423955114692,582.7391640917539,8.055575898173164e+18,1.279123361942068e+17,6.52343569214908e+17,7.275319992764051e+18
485.74239551146917,585.9391640917521,7.628577779079611e+18,1.2875973647915184e+17,6.255720332021784e+17,6.874246009398284e+18
486.14239551146915,589.1391640917543,7.226405012028767e+18,1.2957640704402344e+17,6.000431612547299e+17,6.496785443730018e+18
486.5423955114691,592.3391640917529,6.847678966080663e+18,1.3036340959659109e+17,5.756973156691699e+17,6.141618240814903e+18
486.9423955114691,595.5391640917519,6.49106423824939e+18,1.3112166276144614e+17,5.524769421928045e+17,5.807465633295149e+18
487.3423955114691,598.7391640917539,6.155275445243527e+18,1.3185195767794262e+17,5.303266944747709e+17,5.493096793090817e+18
487.74239551146906,601.9391640917516,5.839081982292707e+18,1.3255497649045659e+17,5.091935238578572e+17,5.197333481944396e+18
488.14239551146903,605.1391640917508,5.541310991404237e+18,1.332313110310052e+17,4.890267295246628e+17,4.919052950848572e+18
488.542395511469,608.3391640917534,5.260848825391203e+18,1.338814799405327e+17,4.6977797026745946e+17,4.657189375183206e+18
488.942395511469,611.5391640917511,4.996641300512473e+18,1.345059432844843e+17,4.5140124284700896e+17,4.4107341143809843e+18
489.34239551146896,614.7391640917496,4.747693011735577e+18,1.3510511433489814e+17,4.338528335826317e+17,4.178735063818048e+18
489.74239551146894,617.9391640917523,4.5130659513947156e+18,1.3567936860933574e+17,4.1709125008207226e+17,3.960295332703308e+18
490.1423955114689,621.1391640917501,4.29187763288609e+18,1.3622905050165638e+17,4.0107713942623834e+17,3.7545714429581967e+18
490.5423955114689,624.339164091753,4.0832988818815247e+18,1.367544779503053e+17,3.8577319810496346e+17,3.5607712058262564e+18
490.9423955114689,627.5391640917517,3.886551421846797e+18,1.3725594560783534e+17,3.711440778577477e+17,3.37815139838121e+18
491.34239551146885,630.7391640917501,3.70090535009509e+18,1.3773372693710294e+17,3.5715629049285446e+17,3.206015332665136e+18
491.7423955114688,633.9391640917518,3.525676575616728e+18,1.381880755929081e+17,3.437781138331759e+17,3.0437103861906473e+18
492.1423955114688,637.1391640917508,3.3602242701848817e+18,1.3861922637226544e+17,3.3097950019992326e+17,2.890625543612693e+18
492.5423955114688,640.3391640917494,3.203948369054595e+18,1.3902739594388101e+17,3.1873198828997274e+17,2.7461889848207457e+18
492.94239551146876,643.5391640917508,3.056287146136575e+18,1.3941278350418029e+17,3.070086189052051e+17,2.6098657437271905e+18
493.34239551146874,646.7391640917496,2.91671488005237e+18,1.3977557145579622e+17,2.9578385472116845e+17,2.481155453875405e+18
493.7423955114687,649.9391640917485,2.7847396212749604e+18,1.4011592616484496e+17,2.8503350410709392e+17,2.359590191003024e+18
494.1423955114687,653.1391640917501,2.6599010660628613e+18,1.4043399882439598e+17,2.7473464890298547e+17,2.244732418335482e+18
494.54239551146867,656.3391640917484,2.5417685396628285e+18,1.4072992643145077e+17,2.64865576000573e+17,2.1361730372308045e+18
494.94239551146865,659.5391640917475,2.4299390889481344e+18,1.4100383287161291e+17,2.554057125471588e+17,2.033529543529364e+18
495.3423955114686,662.7391640917494,2.3240356830247485e+18,1.4125583009777984e+17,2.463355645830308e+17,1.936444288343938e+18
495.7423955114686,665.9391640917477,2.2237055191929265e+18,1.4148601938504517e+17,2.376366589259612e+17,1.8445828408819218e+18
496.1423955114686,669.1391640917506,2.1286184308637263e+18,1.4169449264252728e+17,2.292914881251299e+17,1.7576324500960722e+18
496.54239551146856,672.3391640917487,2.038465393502813e+18,1.4188133376300805e+17,2.2128345831808163e+17,1.6753006014217203e+18
496.94239551146853,675.539164091747,1.9529571243388065e+18,1.4204661999251387e+17,2.1359683983613475e+17,1.5973136645101573e+18
497.3423955114685,678.7391640917496,1.871822771380544e+18,1.4219042330375326e+17,2.0621672041487478e+17,1.5234156276619151e+18
497.7423955114685,681.9391640917476,1.7948086872004022e+18,1.4231281175935925e+17,1.9912896087648643e+17,1.4533669145645573e+18
498.14239551146846,685.1391640917466,1.721677282932966e+18,1.4241385085293822e+17,1.9232015315954512e+17,1.3869432789204838e+18
498.54239551146844,688.3391640917488,1.6522059579888899e+18,1.424936048178282e+17,1.8577758057952464e+17,1.3239347725915395e+18
498.9423955114684,691.5391640917481,1.5861861010774177e+18,1.4255213789508256e+17,1.7948918020967066e+17,1.2641447829726659e+18
499.3423955114684,694.7391640917456,1.5234221582524508e+18,1.425895155531017e+17,1.7344350727692502e+17,1.2073891354224248e+18
499.7423955114684,697.9391640917476,1.4637307638299935e+18,1.4260580565065669e+17,1.6762970147050064e+17,1.1534952567088364e+18
500.14239551146835,701.1391640917471,1.4069399301427277e+18,1.4260107953031525e+17,1.620374550593701e+17,1.1023013955530433e+18
